X	Y	CP	P
0	0	0.640433976	11356.09521
0.000131897	0.001370305	0.455839301	8082.885514
0.000777639	0.004138132	0.155785783	2762.374034
0.001919897	0.006826393	-0.20286084	-3597.103056
0.003548536	0.009432777	-0.525577871	-9319.481114
0.005674749	0.011979749	-0.78806756	-13973.91547
0.008287802	0.014453621	-0.980617995	-17388.19571
0.011387796	0.016856272	-1.111074655	-19701.4369
0.014974718	0.019187503	-1.194041229	-21172.58981
0.019048508	0.021446115	-1.239201798	-21973.37139
0.023588563	0.023621136	-1.256450689	-22279.22657
0.028615393	0.025721837	-1.257668342	-22300.81784
0.034098245	0.027734539	-1.247679292	-22123.69325
0.040047317	0.02966285	-1.230384876	-21817.03082
0.046452365	0.031502329	-1.208472495	-21428.48322
0.053303184	0.033249272	-1.183863962	-20992.12779
0.060599714	0.034902647	-1.157789758	-20529.78327
0.068331758	0.036458897	-1.130998064	-20054.71629
0.076489139	0.037914909	-1.103898809	-19574.19569
0.085071793	0.039269418	-1.07683063	-19094.22612
0.094059462	0.040518108	-1.049929555	-18617.21962
0.103452094	0.041659982	-1.023324706	-18145.46578
0.113239552	0.042692679	-0.997085787	-17680.20053
0.12340166	0.0436133	-0.971266216	-17222.37114
0.133948433	0.044421896	-0.945846379	-16771.62977
0.144849666	0.045115414	-0.920832507	-16328.08692
0.156095317	0.045693001	-0.896278696	-15892.7018
0.167685341	0.046154372	-0.872203102	-15465.79637
0.179609704	0.046498815	-0.848288911	-15041.75294
0.191848365	0.04672575	-0.824562552	-14621.04011
0.204391288	0.046835285	-0.801246845	-14207.6089
0.217218468	0.046827814	-0.778247094	-13799.78019
0.230329957	0.046704036	-0.755566056	-13397.60286
0.243705783	0.046464962	-0.733172993	-13000.53186
0.257335985	0.046111848	-0.711078821	-12608.76078
0.271210611	0.045646146	-0.689275351	-12222.14437
0.285299802	0.045070384	-0.667764306	-11840.7132
0.299603588	0.04438629	-0.646504892	-11463.74393
0.314112117	0.043596041	-0.625460233	-11090.58268
0.328795523	0.04270324	-0.60468099	-10722.12772
0.343643929	0.041710707	-0.584243852	-10359.73895
0.358657447	0.040620604	-0.564190251	-10004.151
0.373806288	0.039437381	-0.544500169	-9655.008934
0.389070612	0.038165131	-0.525121711	-9311.392542
0.404450581	0.036806376	-0.506088869	-8973.90457
0.419926365	0.035365388	-0.487430683	-8643.05994
0.435478202	0.033846636	-0.469112032	-8318.23592
0.451086283	0.032254771	-0.451134962	-7999.468757
0.466750744	0.030592434	-0.433500764	-7686.781366
0.482441868	0.028865423	-0.416200098	-7380.008108
0.498149824	0.027077497	-0.399226402	-7079.032648
0.513864779	0.025232359	-0.382578195	-6783.828728
0.52955706	0.023336084	-0.366247156	-6494.248793
0.545226738	0.021391193	-0.350213831	-6209.94787
0.560844113	0.019403837	-0.334472143	-5930.818239
0.57640937	0.017376387	-0.31902634	-5656.935187
0.591892692	0.015315044	-0.303865369	-5388.10274
0.607284299	0.01322339	-0.288972301	-5124.020718
0.622564452	0.011106306	-0.274325785	-4864.310529
0.637723305	0.008967273	-0.259903242	-4608.571806
0.652750951	0.006809691	-0.245685675	-4356.467677
0.667627702	0.004638316	-0.231657705	-4107.725461
0.682333756	0.002457932	-0.217801345	-3862.026218
0.696859257	0.000271829	-0.204097212	-3619.026243
0.711194347	-0.00191677	-0.190525639	-3378.376822
0.725309331	-0.004101612	-0.177070115	-3139.785137
0.739204356	-0.006281042	-0.163706673	-2902.826262
0.752869439	-0.008451914	-0.150410912	-2667.067483
0.766274949	-0.010607933	-0.137164862	-2432.190186
0.779411083	-0.012745925	-0.123944957	-2197.776478
0.792277863	-0.014864364	-0.110723061	-1963.327484
0.804855483	-0.016958486	-0.097475404	-1728.421687
0.81713414	-0.019025149	-0.084189082	-1492.830273
0.829084155	-0.021057808	-0.070842607	-1256.17225
0.840715488	-0.023056615	-0.057403705	-1017.875329
0.852018277	-0.025018387	-0.043843805	-777.4328751
0.862952976	-0.026934691	-0.030140835	-534.4535139
0.873539479	-0.02880744	-0.016263298	-288.3787666
0.883758053	-0.030631611	-0.002185451	-38.7521354
0.893588855	-0.032402069	0.012120268	214.915075
0.903032025	-0.034117242	0.026692969	473.3163925
0.912077715	-0.035773755	0.04156636	737.0495021
0.920706201	-0.037366388	0.056777123	1006.764843
0.928927439	-0.038895389	0.072365898	1283.183054
0.936711778	-0.04035366	0.088376776	1567.085942
0.944069231	-0.041741504	0.10487098	1859.55911
0.950989946	-0.043055545	0.121916971	2161.816484
0.957464072	-0.044292422	0.139587808	2475.153559
0.963481817	-0.045448803	0.157971273	2801.12687
0.969043193	-0.046523292	0.177176564	3141.672679
0.974128476	-0.047510733	0.197357546	3499.519338
0.978757585	-0.048413737	0.21871439	3878.216225
0.982900801	-0.049225338	0.241487598	4282.027895
0.986577973	-0.049948344	0.266026235	4717.143944
0.989759495	-0.050575958	0.292841689	5192.632223
0.992465201	-0.051111225	0.322732896	5722.659378
0.994685206	-0.051551453	0.357014526	6330.53695
0.996409617	-0.051894058	0.398148122	7059.912726
