X	Y	CP	P
0.978456462	-0.054159504	0.285202186	12946.35395
0.973758323	-0.054573688	0.265815711	12066.33208
0.968597681	-0.055024163	0.247513743	11235.53985
0.962954456	-0.055511444	0.230123803	10446.14784
0.956848802	-0.056032465	0.213516353	9692.275938
0.950280853	-0.056585835	0.197599409	8969.748551
0.943260696	-0.057169266	0.182295791	8275.062213
0.935798479	-0.057780444	0.16754376	7605.414426
0.927904352	-0.058417041	0.153286903	6958.244344
0.919568327	-0.059078313	0.139474701	6331.258785
0.910820633	-0.059760299	0.126072294	5722.875292
0.901651344	-0.060462206	0.113046473	5131.586362
0.89208062	-0.061180903	0.100368495	4556.087323
0.882118609	-0.061914064	0.088014659	3995.302244
0.871765335	-0.062660109	0.075957607	3447.98924
0.861041071	-0.063416009	0.064175727	2913.167261
0.849965965	-0.064178828	0.052642205	2389.619206
0.838520033	-0.06494839	0.041325349	1875.906375
0.826743486	-0.065720441	0.030209539	1371.31975
0.814646463	-0.066492848	0.019274361	874.9326271
0.802219045	-0.067264721	0.008501398	385.9090596
0.789491431	-0.068032652	-0.002128036	-96.59923378
0.7764737	-0.068794541	-0.012613082	-572.553221
0.763186046	-0.069547721	-0.022979155	-1043.106585
0.749628607	-0.070290672	-0.033277919	-1510.604542
0.735811465	-0.071021262	-0.043525144	-1975.762986
0.721764746	-0.071736327	-0.053734352	-2439.195685
0.707498707	-0.072433782	-0.063888308	-2900.120315
0.693013375	-0.073111967	-0.07401006	-3359.583066
0.678338937	-0.073767766	-0.084122878	-3818.640287
0.663485532	-0.074399005	-0.094256685	-4278.650249
0.648463306	-0.075003441	-0.10440363	-4739.256605
0.633292455	-0.075578386	-0.114561211	-5200.345792
0.617993053	-0.07612117	-0.124750647	-5662.880985
0.602575312	-0.076629445	-0.134976514	-6127.069872
0.587049384	-0.07710078	-0.145253795	-6593.592675
0.571435412	-0.077532384	-0.155544856	-7060.740962
0.555743497	-0.077921714	-0.165929656	-7532.144412
0.54000394	-0.078265723	-0.176238614	-8000.105162
0.524216806	-0.078562032	-0.186555689	-8468.434338
0.508412275	-0.078807629	-0.196985558	-8941.883611
0.492590538	-0.078999999	-0.207341793	-9411.990425
0.476781742	-0.079136202	-0.217646959	-9879.779
0.460996054	-0.079213584	-0.227798891	-10340.61173
0.445243643	-0.079229432	-0.237839781	-10796.40389
0.429554671	-0.079181088	-0.247642333	-11241.37702
0.413929275	-0.07906591	-0.256998484	-11666.08639
0.398387645	-0.078881345	-0.265998531	-12074.63089
0.3829499	-0.078625012	-0.274592993	-12464.76449
0.367636209	-0.078294736	-0.282596124	-12828.05542
0.352446674	-0.077887992	-0.289889954	-13159.14862
0.337401455	-0.077402783	-0.296372075	-13453.39541
0.322530643	-0.076837798	-0.301894757	-13704.08983
0.30783435	-0.076190874	-0.30627926	-13903.11822
0.293322698	-0.07546024	-0.309360751	-14042.99817
0.279025762	-0.074645434	-0.310945002	-14114.91305
0.26495357	-0.07374532	-0.310903881	-14113.04642
0.251106271	-0.072758178	-0.309177064	-14034.65997
0.237513826	-0.071684613	-0.305724325	-13877.92771
0.224186284	-0.070524223	-0.300468747	-13639.35813
0.211133683	-0.069276799	-0.293323354	-13315.00299
0.198375991	-0.067943423	-0.284248836	-12903.07798
0.185913229	-0.066523396	-0.273211284	-12402.04374
0.173765334	-0.065018416	-0.260198757	-11811.3583
0.161942298	-0.063429425	-0.245181319	-11129.6627
0.150463991	-0.061759093	-0.228186287	-10358.19705
0.139340319	-0.06000918	-0.209170955	-9495.022676
0.128571297	-0.058179972	-0.18803531	-8535.599635
0.118166821	-0.056273368	-0.164718312	-7477.157166
0.108156614	-0.05429556	-0.139161902	-6317.059704
0.098530718	-0.052245453	-0.111389828	-5056.385299
0.089308899	-0.050128037	-0.081226292	-3687.153787
0.080500989	-0.04794672	-0.04838513	-2196.375229
0.072106936	-0.045702499	-0.012557693	-570.0388761
0.064146437	-0.043401785	0.026651953	1209.828109
0.056619422	-0.041045842	0.069669302	3162.540442
0.049535688	-0.038638829	0.116894132	5306.245458
0.042905004	-0.03618535	0.168845448	7664.502708
0.036727322	-0.033686438	0.22629935	10272.54216
0.031012402	-0.031146844	0.290009298	13164.56608
0.025769971	-0.028572053	0.361118139	16392.45237
0.020990261	-0.025957413	0.440916674	20014.79515
0.016702428	-0.023319742	0.529251294	24024.62154
0.012887045	-0.020647676	0.627167811	28469.40476
0.009563452	-0.01795428	0.735633674	33393.06074
0.006731586	-0.015240754	0.849211587	38548.77108
0.004391437	-0.012507296	0.966461519	43871.16761
0.002543104	-0.009752026	1.074800354	48789.05733
0.001195827	-0.006989681	1.143042445	51886.81152
0.000340826	-0.004196749	1.154857992	52423.16175
-1.21E-05	-0.001376585	1.11158455	50458.82441
