 9.769999981E-01 5.551115123E-17 6.749999523E-01
 9.784240723E-01 -1.696953987E-04 6.823696494E-01
 9.839627147E-01 -3.789282928E-04 6.916707158E-01
 9.933773279E-01 -5.913485656E-04 7.009804249E-01
 1.005682349E+00 -7.840218605E-04 7.097703815E-01
 1.020081401E+00 -9.792519268E-04 7.181648016E-01
 1.035699129E+00 -1.165708993E-03 7.260165215E-01
 1.051842928E+00 -1.344650984E-03 7.335875034E-01
 1.067935109E+00 -1.515412936E-03 7.407186031E-01
 1.083427191E+00 -1.675032894E-03 7.473580837E-01
 1.097790241E+00 -1.820868929E-03 7.534119487E-01
 1.110481858E+00 -1.947959885E-03 7.586858273E-01
 1.120999932E+00 -2.052262891E-03 7.630130053E-01
 1.130499959E+00 -2.142251935E-03 7.669206858E-01
 1.139999986E+00 -2.232240979E-03 7.708283663E-01
 1.152004123E+00 -2.339956816E-03 7.757678628E-01
 1.166054726E+00 -2.460601972E-03 7.815491557E-01
 1.175999999E+00 -2.527034841E-03 7.871349454E-01
 1.183036089E+00 -2.599277999E-03 7.942429781E-01
 1.192361355E+00 -2.701919992E-03 8.036167622E-01
 1.203268051E+00 -2.818154870E-03 8.145508766E-01
 1.215845108E+00 -2.944704844E-03 8.253945708E-01
 1.231093884E+00 -3.054970875E-03 8.326963782E-01
 1.246875286E+00 -3.102954943E-03 8.360067606E-01
 1.261295915E+00 -3.133612918E-03 8.368122578E-01
 1.272999883E+00 -3.151268000E-03 8.368125558E-01
 1.283223987E+00 -3.168119816E-03 8.368118405E-01
 1.293831944E+00 -3.178797895E-03 8.368115425E-01
 1.304727912E+00 -3.188825911E-03 8.368112445E-01
 1.315815926E+00 -3.199938918E-03 8.368108869E-01
 1.326999903E+00 -3.211508971E-03 8.368062973E-01
 1.338183999E+00 -3.223388921E-03 8.367979527E-01
 1.349271894E+00 -3.229715861E-03 8.368009925E-01
 1.360167980E+00 -3.234110773E-03 8.368076682E-01
 1.370775938E+00 -3.247788874E-03 8.368062973E-01
 1.380999923E+00 -3.261742881E-03 8.368042707E-01
 1.392399192E+00 -3.282585880E-03 8.368009925E-01
 1.406460762E+00 -3.307563951E-03 8.368003964E-01
 1.422979951E+00 -3.335462883E-03 8.368046880E-01
 1.441752553E+00 -3.366474994E-03 8.367979527E-01
 1.462574005E+00 -3.402594943E-03 8.367951512E-01
 1.485239983E+00 -3.445810871E-03 8.367941976E-01
 1.509545803E+00 -3.487125970E-03 8.367928863E-01
 1.535287380E+00 -3.640362993E-03 8.367876410E-01
 1.562259912E+00 -3.847956890E-03 8.367804885E-01
 1.590259194E+00 -4.347107839E-03 8.367617726E-01
 1.619080663E+00 -5.079543684E-03 8.367321491E-01
 1.648519874E+00 -5.912291817E-03 8.366951942E-01
 1.678372502E+00 -6.640346721E-03 8.366607428E-01
 1.708433986E+00 -7.000537589E-03 8.366430998E-01
 1.738499880E+00 -7.078805938E-03 8.366391659E-01
 1.768365979E+00 -7.183755748E-03 8.366339803E-01
 1.797827363E+00 -7.329114713E-03 8.366266489E-01
 1.826679945E+00 -7.518040948E-03 8.366170526E-01
 1.854719281E+00 -7.732239552E-03 8.366060853E-01
 1.881740689E+00 -7.944313809E-03 8.365951777E-01
